group,shuMale,shuFemale,sanMale,sanFemale
'25-29',0,0,0,0
'30-34',0,0,0,0
'35-39',0,0,0,0
'40-44',0,0,0,0
'45-49',0,0,2,0
'50-54',0,0,0,0
'55-59',0,0,1,0
'60-64',0,0,0,0
'65-69',0,0,0,0
'70-74',0,0,0,0
'75-79',0,0,1,0
’80-',0,0,0,0
