group,shuMale,shuFemale,sanMale,sanFemale
'25-29',0,0,0,0
'30-34',1,0,1,0
'35-39',1,0,0,1
'40-44',4,0,1,1
'45-49',5,0,2,1
'50-54',3,1,5,0
'55-59',9,1,2,0
'60-64',6,1,2,0
'65-69',1,0,3,0
'70-74',2,0,1,0
'75-79',0,0,0,0
’80-',0,0,0,0
