group,shuMale,shuFemale,sanMale,sanFemale
'25-29',0,0,0,0
'30-34',1,0,0,0
'35-39',0,0,0,0
'40-44',3,0,1,0
'45-49',3,0,1,0
'50-54',5,0,0,0
'55-59',0,0,0,0
'60-64',0,0,0,0
'65-69',1,0,2,0
'70-74',0,0,1,0
'75-79',0,0,1,0
’80-',0,0,1,0
