group,shuMale,shuFemale,sanMale,sanFemale
'25-29',0,0,0,0
'30-34',0,0,0,0
'35-39',2,0,0,1
'40-44',10,1,2,1
'45-49',8,2,5,1
'50-54',17,2,13,4
'55-59',11,2,13,0
'60-64',2,0,3,0
'65-69',9,1,8,2
'70-74',3,0,2,0
'75-79',1,0,4,0
’80-',0,0,0,0
