group,shuMale,shuFemale,sanMale,sanFemale
'25-29',0,0,0,0
'30-34',0,1,0,1
'35-39',1,0,1,0
'40-44',3,2,0,0
'45-49',2,0,0,0
'50-54',3,1,1,1
'55-59',2,2,3,1
'60-64',2,0,1,1
'65-69',2,0,0,0
'70-74',0,0,1,0
'75-79',0,0,0,0
’80-',0,0,0,0
