group,male,female
0-4,2664,2530
5-9,2709,2585
10-14,2872,2736
15-19,3058,2913
20-24,3206,3016
25-29,3348,3182
30-34,3720,3604
35-39,4239,4127
40-44,4955,4834
45-49,4395,4337
50-54,3987,3971
55-59,3757,3806
60-64,4189,4343
65-69,4666,5000
70-74,3623,4170
75-79,2816,3534
80-84,2007,2991
85-89,1074,2085
90-94,340,1038
95-99,68,318
100-,8,54
