group,male,female
20～24,34.61,36.02
25～29,38.62,41.95	
30～34,45.69,48.51	
35～39,51.71,53.60	
40～44,56.30,57.09	
45～49,61.77,63.19
50～54,66.63,66.73	
55～59,69.04,69.49	
60～64,73.62,72.73	
65～69,78.00,76.36	
70～74,78.88,74.37	
75～79,75.59, 67.48	
80-,60.74,41.59	
