group,shuMale,shuFemale,sanMale,sanFemale
'25-29',0,0,0,0
'30-34',9,3,2,2
'35-39',21,5,5,2
'40-44',52,8,15,4
'45-49',56,2,21,4
'50-54',81,9,33,12
'55-59',62,12,43,3
'60-64',51,5,18,4
'65-69',58,1,29,6
'70-74',27,0,22,1
'75-79',9,0,11,1
'80-',0,0,1,0
